SourceID,RCRAName,FacLat,FacLong,FacPercentMinority,FacPopulationDensity,RCRACurrSNC,RCRACurrComplStatus,RCRAQtrsInSNC,RCRAQtrsInNC,RCRAPenalties
CAD000093500,ALCOA FASTENING SYSTEMS,34.05421,-118.00126,94.817,8120.89,No,Noncompliance,0,12,0
CAD000628032,"AIRCRAFT X-RAY LABORATORIES, INC.",33.99518,-118.22526,98.426,13659.15,No,Noncompliance,0,12,0
CAD000630020,"U.S. BORAX, INC. - WILMINGTON OPERATIONS",33.75687,-118.26559,78.979,5914.51,No,Noncompliance,0,12,0
CAD000631622,EQUILON LA LUBE PLANT,33.791344,-118.238277,91.955,6930.89,No,Noncompliance,0,12,0
CAD002277093,ENGINEERED POLYMER SOLUTIONS,33.987111,-118.165944,96.511,10120.69,No,Noncompliance,0,12,0
CAD006904726,FEDEX EXPRESS,33.94162,-118.42411,36.979,4107.95,No,Noncompliance,0,12,0
CAD008297574,CARDINAL INDUSTRIAL FINISHES,34.044077,-118.05565,95.101,6463.53,No,Noncompliance,0,12,0
CAD008303596,TECHNI-CAST CORP,33.92551,-118.16929,93.332,12108.65,No,Noncompliance,0,12,0
CAD008314023,AERO ENGINES INC,34.10486,-118.24417,71.787,11480.55,No,Noncompliance,0,12,0
CAD008330862,EATON AEROSPACE ENGINEER,34.14059,-118.27464,44.621,8049.19,No,Noncompliance,0,12,0
CAD008334781,INDUSTRIAL TECHTONICS BEARINGS,33.86459,-118.21293,92.727,8275.74,No,Noncompliance,0,12,0
CAD008335812,"MAGNA PLATING, INC.",34.20516,-118.34553,65.264,6626.02,No,Noncompliance,0,12,0
CAD008380388,PENTRATE METAL PROCESSING,34.01879,-118.20213,97.73,10858.03,No,Noncompliance,0,12,0
CAD008387060,VAN NUYS PLATING PLATING INC,34.1812,-118.4509,59.197,9919.42,No,Noncompliance,0,12,0
CAD009520115,LOS ANGELES GALVANIZING,33.99562,-118.225501,98.443,13661.7,No,Noncompliance,0,12,0
CAD009521329,BODYCOTE THERMAL PROCESSING,33.98204,-118.20488,98.065,12934.02,No,Noncompliance,0,12,0
CAD009548942,"SIZE CONTROL PLATING COMPANY, INC.",34.05462,-117.98781,94.395,8489.26,No,Noncompliance,0,12,0
CAD009604075,DESIGNED METAL CONNECTIONS,33.89906,-118.28305,94.883,8776.75,No,Noncompliance,0,12,0
CAD021074679,"CIRCUITS MANUFACTURING, INC.",34.24375,-118.60246,62.01,4809.09,No,Noncompliance,0,12,0
CAD045223872,"S & K PLATING, INC.",33.9171,-118.24625,98.768,12323.02,No,Noncompliance,0,12,0
CAD046442612,"GARDENA PLATING COMPANY, INC.",33.91467,-118.3091,94.16,11502.8,No,Noncompliance,0,12,0
CAD052385465,A & C ELECTRONICS,34.22645,-118.52923,63.416,7549.18,No,Noncompliance,0,12,0
CAD054866637,SONY PICTURES STUDIOS,34.0198,-118.40065,57.365,9781.36,No,Noncompliance,0,12,0
CAD059794974,MARTIN METAL FINISHING INC,33.92235,-118.22406,98.502,14081.78,No,Noncompliance,0,12,0
CAD066676123,EQUILON ENTERPRISES LLC-CARSON TERMINAL,33.84142,-118.23596,89.814,5220.74,No,Noncompliance,0,12,0
CAD067734186,"SAPA EXTRUDER, INC",33.99685,-117.909774,91.198,5233.85,No,Noncompliance,0,12,0
CAD076941251,FORMER FAITH PLATING,34.09071,-118.34581,49.378,12539.25,No,Noncompliance,0,12,0
CAD083007799,NORTHROP GRUMMAN SYSTEMS CORP,34.17329,-118.59382,49.539,5944.81,No,Noncompliance,0,12,0
CAD083012385,TRI-J METAL HEAT TREATING CO.,34.01427,-118.22919,95.956,12836.4,No,Noncompliance,0,12,0
CAD091719450,E/M COATING SERVICES,34.19651,-118.381233,64.718,9646.56,No,Noncompliance,0,12,0
CAD092694538,GRIFOLS BIOLOGICALS INC,34.0743,-118.16258,91.294,10663.32,No,Noncompliance,0,12,0
CAD098627516,LSC COMMUNICATIONS,33.852294,-118.296199,82.659,6989.44,No,Noncompliance,0,12,0
CAD980694400,LEFIELL MANUFACTURING,33.88996,-118.04044,80.682,7239.57,No,Noncompliance,0,12,0
CAD980737894,JBL INC,34.22397,-118.50263,74.681,9912.11,No,Noncompliance,0,12,0
CAD980814412,A2Z PLATING,34.01287,-118.17898,97.905,10589.22,No,Noncompliance,0,12,4000
CAD980881676,PHILLIPS 66 - LOS ANGELES REFINERY CARSON PLANT,33.8048,-118.2431,91.681,6621.1,No,Noncompliance,0,12,0
CAD981399207,EPMAR CORPORATION,33.94704,-118.04814,81.923,7351.32,No,Noncompliance,0,12,0
CAD981404676,AMERICAN HONDA MOTOR CO.,33.83639,-118.31502,73.025,7348.03,No,Noncompliance,0,12,0
CAD981425473,METROPOLITAN WATER DIST SOTO,34.06777,-118.19547,94.111,10935.12,No,Noncompliance,0,12,0
CAD981430994,DELTA AIR LINES INC.,33.94389,-118.38996,75.098,7254.24,No,Noncompliance,0,12,0
CAD981452857,HERMETIC SEAL CORPORATION,34.08452,-118.05701,90.113,9619.61,No,Noncompliance,0,12,0
CAD981462377,GOODRICH CORPORATION,33.94739,-118.05793,84.184,7739.21,No,Noncompliance,0,12,0
CAD981635741,PRIME PLATING,34.22251,-118.37793,77.263,6364.62,No,Noncompliance,0,12,0
CAD981693856,WEST COAST METAL FINISHING,33.99054,-118.24007,98.805,15328.26,No,Noncompliance,0,12,0
CAD982011199,ADMIRAL TRANSPORTATION,34.05333,-117.99549,94.627,8189.32,No,Noncompliance,0,12,0
CAD982022642,LAUSD-SAN PEDRO HIGH SCHOOL,33.73064,-118.29907,57.066,5442.44,No,Noncompliance,0,12,0
CAD982031411,SMILAND PAINT COMPANY,34.06654,-118.22262,90.176,12526.06,No,Noncompliance,0,12,0
CAD982400699,AMERICAN INTERNATIONAL INDUSTRIES,34.00382,-118.15,96.112,9300.44,No,Noncompliance,0,12,0
CAD982429375,"ESOTERIX, INC. - ENDOCRINOLOGY",34.13782,-118.70784,23.167,813.68,No,Noncompliance,0,12,0
CAD982437089,"MOOG, INC.",33.84801,-118.30931,77.475,7384.82,No,Noncompliance,0,12,0
CAD982472623,GOLDEN OIL,34.11429,-117.91423,77.792,6048.51,No,Noncompliance,0,12,0
CAD983578832,POLYCOAT PRODUCTS,33.896389,-118.039722,80.813,7047.7,No,Noncompliance,0,12,0
CAD983629031,AMERICA WEST AIRLINES,33.953877,-118.385863,,,No,Noncompliance,0,12,0
CAD990664617,FABRI COTE,33.98565,-118.26241,98.597,16894.62,No,Noncompliance,0,12,0
CAR000009878,"SAFE PLATING, INC.",33.9968,-117.91115,91.209,5283.29,No,Noncompliance,0,12,0
CAR000032946,R. L. ANODIZING AND PLATING INC,34.22408,-118.37841,78.154,6324.2,No,Noncompliance,0,12,175000
CAR000047159,COSMETIC LABORATORIES OF AMERICA LLC,34.23457,-118.57493,67.212,7641.05,No,Noncompliance,0,12,0
CAR000079756,"ARDAGH METAL PACKAGING USA, INC.",33.737967,-118.263918,68.342,5693.91,No,Noncompliance,0,12,0
CAR000084459,FOUR STAR CHEMICAL,34.01336,-118.21571,97.162,12615.49,No,Noncompliance,0,12,0
CAR000095547,DVD FACTORY INC,34.42901,-118.5698,41.353,2863,No,Noncompliance,0,12,0
CAR000103192,TUNEUP MASTERS NO 15,33.97454,-118.33123,97.241,12661.33,No,Noncompliance,0,12,0
CAR000112516,CORNERSTONE MATERIALS CORP,34.5437,-118.0006,81.614,1190.31,No,Noncompliance,0,12,0
CAR000183731,UNIVAR USA INC,33.95044,-118.06118,85.044,7870.24,No,Noncompliance,0,12,0
CAR000207654,PRL ALUMINUM,34.027113,-117.977713,91.799,5606.32,No,Noncompliance,0,12,0
CAR000240218,"EMAX LABORATORIES, INC.",33.84473,-118.31206,76,7487.87,No,Noncompliance,0,12,0
CAT080012933,COMMONWELATH ALUMINUM CARSON ROLLING MIL,33.83174,-118.23197,88.692,5701.37,No,Noncompliance,0,12,0
CAT080014145,UNIVERSAL STUDIOS,34.13749,-118.347816,35.639,6128.66,No,Noncompliance,0,12,0
CAT080014848,"CALIFORNIA ELECTROPLATING, INC.",34.018001,-118.202653,97.737,11001.37,No,Noncompliance,0,12,0
CAT080033723,THE HON COMPANY,33.9574,-118.22964,98.4,16318.2,No,Noncompliance,0,12,0
CAD008335838,V&M AEROSPACE LLC,33.90386,-118.26529,97.535,9674.86,Yes,Significant Violation,11,11,0
CAD008302903,VEOLIA ES TECHNICAL SOLUTIONS LLC,34.12078,-117.93548,83.061,5380.51,Yes,Significant Violation,9,11,7000
CAD097030993,"US ECOLOGY VERNON, INC.",33.994033,-118.215406,98.242,12831.98,Yes,Significant Violation,6,11,24500
CAR000005413,BURBANK OPERABLE UNIT,34.185273,-118.349151,57.996,8702.34,No,Noncompliance,0,11,0
CAD981434723,INTERNATIONAL MEDICATION SYSTEMS LTD.,34.049911,-118.042451,95.15,6624.93,No,Noncompliance,0,10,0
CAL000343623,OK AUTO GROUP INC,34.058327,-118.06729,94.491,8052.92,No,Noncompliance,0,10,0
CAR000205997,"ARCADIA, INC.",34.01445,-118.20909,97.702,12182.28,No,Noncompliance,0,10,0
CAD028409019,"CROSBY & OVERTON,INC",33.78816,-118.21437,86.944,8783.16,No,No Violation,0,9,78570
CAR000173096,GLOBAL COMMUNICATION SEMICONDUCTORS LLC,33.81628,-118.34451,55.759,7206.55,No,Noncompliance,0,9,0
CAD990843377,HI-SHEAR CORP,33.8027,-118.33142,61.246,6563.24,Yes,Significant Violation,8,8,0
CAT000611202,ECO SERVICES OPERATIONS,33.843333,-118.232844,90.07,5576.09,No,No Violation,8,8,0
CAT000646257,HAWKER PACIFIC AEROSPACE,34.20119,-118.37631,65.571,9126.29,Yes,Significant Violation,8,8,0
CAD008251308,ATLAS GALVANIZING LLC,34.00002,-118.22377,98.306,13325.64,No,Noncompliance,0,8,0
CAD077243640,"BACHEM AMERICAS, INC.",33.81511,-118.33985,58.57,7329.64,No,Noncompliance,0,8,0
CAR000047696,UNIVAR USA INC.,33.9925,-118.133056,94.106,8932.82,No,Noncompliance,0,8,0
CAD006906283,"PRECISION SPECIALTY METAL, INC.",34.06064,-118.19081,95.306,11338.79,Yes,Significant Violation,7,7,0
CAD008364432,RHO-CHEM LLC,33.95785,-118.37533,83.494,8127.92,Yes,Significant Violation,5,7,77750
CAD020165353,ANAPLEX CORP,33.891977,-118.168795,90.46,11872.66,No,Noncompliance,5,7,0
CAD981453798,"ARROWHEAD BRASS & PLUMBING, LLC",34.072427,-118.173777,92.875,10974.56,No,Noncompliance,0,7,0
CAD983581026,USC UNIVERSITY HOSPITAL,34.06203,-118.20324,93.829,11452.99,No,Noncompliance,0,7,0
CAL000146338,"AERO-ELECTRIC CONNECTOR, INC",33.843,-118.32349,69.979,7362.6,No,No Violation,0,7,0
CAR000011684,REICHHOLD LLC 2,34.11856,-117.9349,83.083,5615.39,No,Noncompliance,0,7,0
CAR000228197,JESSE'S PLATING,34.256442,-118.399141,89.905,6356.03,Yes,Significant Violation,6,6,0
CAD009603184,BURBANK PLATING SERVICES,34.27517,-118.42789,92.279,8287.27,Yes,Significant Violation,5,6,0
CAD981634363,RICARDO D TADEO WASTE OIL SERVICE,33.90292,-118.11397,84.462,10442.34,No,No Violation,0,6,0
CAD981675911,"CITY OF LOS ANGELES, LA WORLD AIRPORTS -LAX-",33.94155,-118.42469,36.452,3983.36,No,Noncompliance,0,6,0
CAR000156349,"OPI PRODUCTS, INC.",34.20714,-118.41707,76.348,12404.29,No,No Violation,0,6,0
CAD008304594,"K & L ANODIZING, INC.",34.16537,-118.30602,38.839,5901.3,No,No Violation,5,5,0
CAD008391427,"ELECTRONIC CHROME AND GRINDING CO., INC.",33.95562,-118.06679,85.739,7919.86,Yes,Significant Violation,5,5,1000
CAD008392722,"LMDD ENTERPRISES, DBA DIXON HARD CHROME",34.2288,-118.3864,81.761,6861.85,Yes,Significant Violation,5,5,0
CAD009693904,VAGA INDUSTRIES,34.057312,-118.068725,94.597,7970.76,Yes,Significant Violation,5,5,0
CAD009774167,VENTURA TRANSFER COMPANY,33.82166,-118.2314,89.354,6197.51,Yes,Significant Violation,5,5,0
CAD981684392,MANUFACTURERS SERVICE INC,34.054214,-118.05999,94.872,7625.94,Yes,Significant Violation,5,5,0
CAD097854541,EXIDE TECHNOLOGIES INCORPORATED,34.00591,-118.19432,97.974,11313.42,No,No Violation,3,5,1481374
CAD054852439,DANCO ANODIZING,34.14447,-118.0296,66.804,5245.16,No,Noncompliance,0,5,0
CAD095615027,LAC + USC MEDICAL CENTER,34.05983,-118.21034,92.468,11320.39,No,No Violation,0,5,0
CAD981673809,"CONNECTOR PLATING, INC",33.9123,-118.2798,97.334,10473.94,No,Noncompliance,0,5,0
CAL000205562,"SPECTRUM, INC.",33.86092,-118.23226,94.489,6415.82,No,No Violation,0,5,0
CAL000318762,NATIONAL GENETICS INSTITUTE,34.036249,-118.434548,42.958,11190.17,No,No Violation,0,5,0
CAR000037655,THE BUMPER BOYZ,33.99385,-118.22905,98.522,14027.03,No,No Violation,0,5,0
CAR000050104,BRENNTAG PACIFIC INC,33.937333,-118.060278,84.742,7731.14,No,No Violation,0,5,0
CAR000089714,ELEMENT MATERIALS TECHNOLOGY,33.86729,-118.23559,95.688,6669.38,No,Noncompliance,0,5,0
CAR000112755,"WHITING ENTERPRISES, INC DBA HI TECH METAL POLISHING",33.94409,-118.05975,84.568,7811.37,No,No Violation,0,5,0
CAT080012818,SANTOSHI CORP D.B.A. ALUM-A-COAT,34.056459,-118.052769,94.424,7683.27,No,Noncompliance,0,5,0
CAD008475964,"BOWMAN PLATING COMPANY, INC.",33.917993,-118.225121,98.585,13491.85,Yes,Significant Violation,4,4,0
CAD050806850,CLEAN HARBORS LOS ANGLES LLC,33.98985,-118.23907,98.782,15339.74,Yes,Significant Violation,3,4,23500
CAD000633305,MAIN STREET CENTER,34.06694,-118.22734,89.434,12844.07,No,No Violation,2,4,51160
CAD007965049,HENKEL ELECTRONIC MATERIALS LLC,33.84952,-118.20683,86.382,7322.7,No,Noncompliance,0,4,0
CAD008237679,PHILLIPS 66 - LOS ANGELES REFINERY WILMINGTON PLANT,33.774469,-118.290696,75.436,6925.48,No,No Violation,0,4,0
CAD008268302,"NORTHROP GRUMMAN, HAWTHORNE",33.91968,-118.32876,92.382,11896.85,No,Noncompliance,0,4,0
CAD028489045,OLDCASTEL BUILDING ENVELOPE,34.01003,-118.15063,96.429,9126.76,No,Noncompliance,0,4,0
CAD030865299,ARCONIC GLOBAL FASTENERS & RINGS INC,34.02877,-117.96383,91.583,6526,No,Noncompliance,0,4,0
CAD981454887,KASIER ALUMINUM FABRICTED PRODUCTS LLC,33.98858,-118.14652,94.752,9764.3,No,Noncompliance,0,4,0
CAD981685373,ROSS NAME PLATE CO,34.03868,-118.1175,94.775,8968.61,No,Noncompliance,0,4,0
CAD982522617,CERTIFIED ENAMELING INC,34.01578,-118.20742,97.657,11907.17,No,No Violation,0,4,0
CAD983613688,MILES CHEMICAL COMPANY,34.23814,-118.41218,88.24,9909.45,No,No Violation,0,4,0
CAL000309829,USC/NORRIS CANCER HOSPITAL,34.170764,-118.132172,62.777,5948.27,No,No Violation,0,4,0
CAR000001958,STEWART FILMSCREEN CORPORATION,33.81243,-118.2961,80.013,8003.96,No,Noncompliance,0,4,0
CAR000010975,SONIC PLATING COMPANY,33.90193,-118.31258,90.533,10346.08,No,No Violation,0,4,0
CAR000016428,"AVIBANK MFG, INC.",34.20119,-118.38176,67.145,9312.77,No,Noncompliance,0,4,0
CAR000108589,SEARS ROEBUCK AND CO 6701,34.149889,-118.256563,47.581,7723.42,No,Noncompliance,0,4,0
CAD008336901,"CHEVRON, EL SEGUNDO REFINERY",33.908126,-118.41074,33.744,4630.23,No,No Violation,0,3,0
CAD008358145,"METAL SURFACES, INC.",33.95423,-118.15804,92.062,10777.56,No,No Violation,0,3,0
CAD009402082,BRONZEWAY PLATING CORP,34.01579,-118.20563,97.692,11740.13,No,No Violation,0,3,0
CAD009588278,"COAST PLATING, INC",33.89197,-118.27734,94.736,7741.08,No,No Violation,0,3,0
CAD009637059,DAY-GLO COLOR CORPORATION,33.9572,-118.18639,96.196,13719.2,No,Noncompliance,0,3,0
CAD009680232,"GRAPHIC RESEARCH, INC.",34.24057,-118.57979,65.122,6559.69,No,No Violation,0,3,0
CAD042238154,AERODYNAMIC PLATING COMPANY,33.908,-118.310778,92.36,11055.55,No,No Violation,0,3,0
CAD044429835,CLEAN HARBORS OF WILMINGTON LLC,33.78587,-118.24031,91.742,6459.33,No,No Violation,0,3,0
CAD096427299,EVONIK CORPORATION,34.01336,-118.21272,97.689,12474.16,No,No Violation,0,3,0
CAD981574171,"NORTHROP GRUMMAN AEROSPACE SYSTEMS, SPACE PARK",33.89116,-118.37798,60.019,9995.12,No,Noncompliance,0,3,0
CAD981693385,PLATERONICS PROCESSING,34.23719,-118.59145,64.916,6248.72,No,No Violation,0,3,0
CAD982039174,"ALLFAST FASTENING SYSTEMS, LLC",34.02141,-117.96943,91.221,5743.62,No,Noncompliance,0,3,0
CAD982469025,"PHOTO SCIENCES,INC",33.810282,-118.329379,64.389,7233.38,No,Noncompliance,0,3,0
CAR000191643,ALLOY PROCESSING,33.87551,-118.24713,96.77,6203.58,No,No Violation,0,3,0
CAR000229476,CVS PHARMACY #9618,34.726433,-118.254781,,,No,Noncompliance,0,3,0
CAR000243055,CVS PHARMACY #10022,33.813536,-118.299179,78.837,7872.53,No,Noncompliance,0,3,0
CAR000258806,CVS PHARMACY #16041,34.09108,-118.14714,85.278,9155.38,No,Noncompliance,0,3,0
CAD981427669,AMERICAN OIL COMPANY,34.217767,-118.452157,80.999,11926.36,Yes,Significant Violation,2,2,0
CAR000069526,COMMERCE REFUSE-TO-ENERGY FACILITY,33.9949,-118.1539,96.073,10078.11,Yes,Significant Violation,2,2,0
CAR000194720,GREENVIEW RESOURCE MNGMT,33.96092,-118.0544,84.549,7078.88,No,No Violation,1,2,0
CAT000617597,"UNIVERSITY OF SOUTHERN CALIFORNIA, HSC",34.02376,-118.284,94.42,20277.79,No,No Violation,1,2,0
CAD008252405,PACIFIC RESOURCE RECOVERY,34.017443,-118.212607,96.699,12157.41,No,No Violation,0,2,42000
CAD008258626,BODYCOTE THERMAL PROCESSING,33.99979,-118.18447,97.963,11271.48,No,Noncompliance,0,2,0
CAD008294829,B&C PLATING,34.012805,-118.178981,97.906,10580.86,No,No Violation,0,2,0
CAD008317422,THE GILL CORPORATION,34.08291,-118.06062,90.496,9427.44,No,No Violation,0,2,0
CAD030841597,"ECOLAB, INC.",33.99715,-117.903052,91.246,5040.83,No,No Violation,0,2,0
CAD038071643,"ORTEL, A DIVISION OF EMCORE",34.081967,-118.145133,88.169,9527.26,No,No Violation,0,2,0
CAD044052801,"BROWN-PACIFIC, INC.",33.90528,-118.04036,80.684,6994.12,No,Noncompliance,0,2,0
CAD055766422,SOLVAY USA INC FORMERLY MARCHEM TECHNOLOGIES,33.843611,-118.216389,86.883,6403.51,No,No Violation,0,2,0
CAD060398229,HERAEUS PRECIOUS METALS NORTH AMERICA LLC,33.88794,-118.04559,81.4,7305.66,No,No Violation,0,2,10000
CAD093361079,"HUNTSMAN ADVANCED MATERIALS AMERICAS, INC",34.14521,-118.271546,44.58,7749.07,No,No Violation,0,2,0
CAD099466310,DAVIS WIRE CORPORATION,34.113297,-117.936214,84.528,6070.27,No,No Violation,0,2,0
CAD981689912,CATALINA SERVICE CENTER,33.33443,-118.31307,58.606,342.07,No,No Violation,0,2,0
CAD981696420,SAFETY KLEEN OF CALIFORNIA CARSON,33.88114,-118.26424,95.671,6662.87,No,No Violation,0,2,17500
CAD982024408,ULTRAMET,34.257436,-118.397767,90.06,6135.54,No,No Violation,0,2,0
CAD983576695,"PHOTO FABRICATORS, INC.",34.20993,-118.46293,77.798,11368.53,No,No Violation,0,2,0
CAD983580994,BEDFORD FREIGHT LINES INC,34.08056,-118.37656,34.122,9167.9,No,No Violation,0,2,0
CAD990667099,3M COMPANY,34.13352,-117.99129,73.022,4264.63,No,No Violation,0,2,0
CAL000348691,LG NANOH2O,33.9259,-118.39224,68.745,6802.84,No,No Violation,0,2,0
CAR000012716,"REMO, INC",34.44965,-118.62671,58.623,897.6,No,No Violation,0,2,0
CAR000017715,"FTG CIRCUITS, INC.",34.24807,-118.58587,62.163,5331.94,No,No Violation,0,2,0
CAR000038893,"AES REDONDO BEACH, LLC",33.850278,-118.395,37.581,10421.53,No,No Violation,0,2,0
CAR000055020,PHENOMENEX MAIN CAMPUS,33.84535,-118.32482,69.607,7581.69,No,No Violation,0,2,0
CAR000068007,"METAL FINISHING MARKETERS, INC.",34.01717,-118.19952,97.811,10817.34,No,No Violation,0,2,0
CAR000104471,STRUCTURAL COMPOSITES INDUSTRIES LLC,34.0487,-117.80733,81.509,3563.35,No,No Violation,0,2,0
CAR000111567,"SOS METALS, INC.",33.8821,-118.27327,94.243,6856.8,No,No Violation,0,2,0
CAR000129163,EUROFINS EATON ANALYTICAL,34.143215,-117.989072,68.604,3478.05,No,No Violation,0,2,0
CAR000156851,"MYERS CONTAINE, LLC",34.011887,-117.860183,,,No,No Violation,0,2,0
CAR000159087,M.S. AEROSPACE INC.,34.32307,-118.49065,73.896,1977.27,No,No Violation,0,2,0
CAR000183343,GLOBAL ERECYCLERS INC,33.935579,-118.050884,81.784,7463.34,No,No Violation,0,2,0
CAR000231290,CVS PHARMACY #9784,34.13742,-118.18848,67.563,7083.44,No,Noncompliance,0,2,0
CAR000231548,CVS PHARMACY #9721,34.12365,-118.05616,73.575,6755.63,No,Noncompliance,0,2,0
CAR000238204,CVS PHARMACY #9679,34.079267,-118.109479,89.876,9424.5,No,No Violation,0,2,0
CAT080033681,D/K ENVIRONMENTAL,34.01087,-118.20365,97.957,11869.52,No,No Violation,0,2,0
CAD053866794,PATRIOT ENVIRONMENTAL SERVICES,33.77579,-118.25689,89.248,4678.33,Yes,Significant Violation,1,1,0
CAR000164327,T AND R ENVIRONMENTAL SERVICES,33.85543,-117.87022,66.915,6839.16,No,No Violation,1,1,9000
CA0000036434,ADVANTEST AMERICA,34.10616,-117.97264,87.438,6038.09,No,No Violation,0,1,0
CA0000370924,SHERWIN-WILLIAMS #4358,33.90245,-118.04201,81.313,7003.32,No,No Violation,0,1,0
CAD000633180,HARBOR GENERATING STATION,33.7691,-118.2662,83.079,5651.57,No,No Violation,0,1,0
CAD005975123,WESTERN TUBE & CONDUIT CORPORATION,33.8392,-118.23457,89.358,5453.38,No,No Violation,0,1,0
CAD008330797,GANS INK & SUPPLY CO,34.04433,-118.2247,93.526,12570.2,No,No Violation,0,1,0
CAD008342784,AUTOMATION PLATING CORP,34.16956,-118.29475,38.368,5845.57,No,No Violation,0,1,0
CAD008354052,TORRANCE REFINING COMPANY LLC,33.854967,-118.336907,63.971,8716.55,No,No Violation,0,1,0
CAD008371098,PARAMOUNT PETROLEUM CORPORATION,33.899645,-118.15141,87.548,11017.5,No,Noncompliance,0,1,0
CAD009656075,HASA INC,34.411667,-118.539722,42.277,3503.38,No,No Violation,0,1,0
CAD027897164,MISTRAS GROUP (SERVICES),33.956608,-118.184345,95.954,13535.63,No,No Violation,0,1,0
CAD028418028,VALMONT INDUSTRIES CALWEST GALVANIZING,33.83921,-118.23028,88.688,5614.32,No,No Violation,0,1,0
CAD037030533,"ELECTROMATIC, INC.",34.20462,-118.39217,70.49,9527.51,No,No Violation,0,1,0
CAD041156969,"HRL LABORATORIES, LLC",34.04433,-118.69357,21.258,344.61,No,No Violation,0,1,0
CAD041520644,TESORO REFINING & MARKETING COMPANY LLC -- LA REFINERY,33.7956,-118.2331,91.514,7582.03,No,No Violation,0,1,0
CAD042236844,BAXALTA US INC.,34.14234,-118.27007,45.749,7931.94,No,No Violation,0,1,0
CAD066647066,ULTRAMAR INC. VALERO WILMINGTON REFINERY,33.7783,-118.2351,90.911,6605.25,No,No Violation,0,1,0
CAD106854177,TED LEVINE DRUM COMPANY,34.049249,-118.05999,95.206,7069.35,No,No Violation,0,1,0
CAD981171598,PACIFIC PLATING,34.25393,-118.39816,89.121,6604.46,No,No Violation,0,1,225000
CAD981393291,"DONAHUE PRINTING CO, INC",34.025933,-118.368132,71.253,11124.98,No,No Violation,0,1,0
CAD981400559,GOODRICH CORPORATION,33.93,-118.071667,86.801,7839.92,No,No Violation,0,1,0
CAD981426539,JW BUTLER OIL INC,34.762838,-118.072913,50.901,7.7,No,No Violation,0,1,0
CAD981450349,JACK EAGLE & CO,33.96126,-118.23184,98.428,16351.89,No,No Violation,0,1,0
CAD982052326,"MOTORCARPARTS OF AMERICA, INC.",33.84181,-118.33731,60.902,8096.34,No,No Violation,0,1,0
CAD982433401,MATTELL INC.,33.9236,-118.39094,69.374,6978.94,No,No Violation,0,1,0
CAD983580473,CARLTON FORGE WORKS,33.89479,-118.16474,89.824,11761.92,No,No Violation,0,1,0
CAL000024110,P. KAY METAL INC,34.01526,-118.22857,95.877,12803.36,No,No Violation,0,1,14500
CAL000110141,"DAVID H. FELL & CO., INC",33.991325,-118.156654,96.052,10026.36,No,No Violation,0,1,0
CAL000168014,YOUNGER MFG. CO.,33.841803,-118.338123,60.278,8142.21,No,No Violation,0,1,0
CAL000313345,EDGINGTON OIL,33.87461,-118.16412,85.34,11178.2,No,No Violation,0,1,5000
CAR000015180,MIGUS357006-EQUILON ENTERPRISES LLC DBA SHELL OIL PRODUCTS US,33.791344,-118.238277,91.955,6930.89,No,No Violation,0,1,0
