SourceID,RCRAName,FacLat,FacLong,RCRAUniverse,FacPercentMinority,RCRACurrSNC,RCRACurrComplStatus,RCRAQtrsInSNC,RCRAQtrsInNC
CA0000228379,RITE AID NO 5456,34.02577,-118.43238,LQG,44.587,No,No Violation,0,0
CA0000228502,RITE AID NO 5439,34.090873,-118.290349,LQG,77.309,No,No Violation,0,0
CA0000228528,RITE AID NO 5521,33.837531,-118.184939,LQG,81.749,No,No Violation,0,0
CA0000235689,SCE WHITTIER SVC CTR,33.947897,-118.074997,LQG,87.241,No,No Violation,0,0
CA0000361386,AUTO CO XXIII INC DBA AUTONATION CHRYSLER DODGE JEEP RAM VALENCIA,34.41831,-118.55202,LQG,40.281,No,No Violation,0,0
CA0000368910,MICROSEMI INC,33.88802,-118.01288,LQG,74.306,No,No Violation,0,0
CA0000370924,SHERWIN-WILLIAMS #4358,33.90245,-118.04201,LQG,81.313,No,No Violation,0,1
CA0000372243,"ROBINSON HELICOPTER COMPANY,INC.",33.79472,-118.33495,LQG,57.979,No,Noncompliance,0,12
CA0000372326,TARGET STORE T1309,34.21323,-118.45911,LQG,78.901,No,No Violation,0,0
CA0000375907,CHEVRON 93699,34.03367,-118.15186,LQG,96.187,No,No Violation,0,0
CA0000481606,CVS PHARMACY #9503,34.07606,-118.376303,LQG,37.288,No,No Violation,0,0
CA0000546630,STANDARD AERO - LAX,33.93149,-118.40943,LQG,49.327,No,No Violation,0,0
CA0000552067,DOMINGUEZ HILLS SERVICE CENTER (COMPTON),33.85592,-118.23388,LQG,93.258,No,No Violation,0,0
CA0000552075,SCE GAGE SUBSTATION,33.9622,-118.15597,LQG,92.145,No,No Violation,0,0
CA0000562140,SANTA MONICA SERVICE CENTER,34.025557,-118.472856,LQG,35.466,No,No Violation,0,0
CA0000594846,ALERT PLATING COMPANY,34.250667,-118.38842,LQG,87.752,No,No Violation,0,0
CA0000744334,EXXONMOBIL OIL CORP 11529,34.18323,-118.15124,LQG,64.746,No,No Violation,0,0
CA0000918607,CON-WAY FREIGHT - ULA,33.93173,-118.05783,LQG,83.865,No,No Violation,0,0
CA0000928523,CALABASAS SANITARY LANDFILL,34.141301,-118.711378,LQG,23.252,No,No Violation,0,0
CA0000940312,ALLBLACK COMPANY,33.94044,-118.05175,LQG,82.473,No,No Violation,0,0
CA0001012434,RITE AID #5461,34.068722,-118.405846,LQG,35.013,No,No Violation,0,0
CA0001037837,RITE AID NO 5538,34.221839,-118.2362,LQG,36.724,No,No Violation,0,0
CA1570090075,THE BOEING COMPANY,34.645879,-118.104302,LQG,71.752,No,No Violation,0,0
CA1800090010,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION - SANTA SUSANA FIELD LABORATORY,34.2367,-118.6676,"LQG, TSDF",31.966,No,No Violation,0,0
CA2360030033,VA GREATER LOS ANGELES HEALTHCARE SYSTEM,34.054558,-118.455762,LQG,35.784,No,No Violation,0,0
CA2360090060,VA SEPULVEDA AMBULATORY CARE CENTER,34.24287,-118.47884,LQG,78.859,No,No Violation,0,0
CA2570090199,NORTHROP GRUMMAN CORPORATION,34.645907,-118.067651,LQG,71.199,No,No Violation,0,0
CA3971590028,DEFENSE FUEL SUPPORT POINT SAN PEDRO,33.780873,-118.296725,LQG,76.351,No,No Violation,0,0
CA3971990028,DEFENSE FUEL SUPPLY POINT (DFSP),33.780873,-118.296725,LQG,76.351,No,No Violation,0,0
CA4170090456,"NAVAL AUXILIARY LANDING FIELD, SAN CLEMENTE ISLAND (NALF-SCI)",33.447221,-117.611993,LQG,23.946,No,No Violation,0,0
CA5570090048,LOCKHEED MARTIN AERONAUTICS - PALMDALE AFP 42 SITE 2,34.645945,-118.09438,LQG,72.073,No,No Violation,0,0
CA6170023109,US NAVY BRAC PMO-W (LONG BEACH),33.753079,-118.246909,LQG,90.161,No,No Violation,0,0
CA6572026296,LOS ANGELES AIR FORCE BASE,33.916919,-118.38322,LQG,71.284,No,No Violation,0,0
CA9690308730,U.S.C.G. BASE LOS ANGELES LONG BEACH,33.733574,-118.268879,LQG,63.972,No,No Violation,0,0
CA9800013030,JET PROPULSION LABORATORY,34.20118,-118.16743,LQG,65.985,No,No Violation,0,0
CA9909215490,CARIBBEAN PRINCESS,34.419403,-118.561968,LQG,,No,No Violation,0,0
CAC001167728,EARL SCHMIDT FILTRATION PLANT,34.5,-118.591667,LQG,58.691,No,No Violation,0,0
CAC002607033,LACCD- LOS ANGELES VALLEY COLLEGE,34.17835,-118.42249,LQG,56.004,No,No Violation,0,0
CAC002612752,CRENSHAW BRANCH OFFICE,34.01151,-118.33512,LQG,95.383,No,No Violation,0,0
CAC002612763,WESTERN MULTITEX,33.857397,-117.916423,LQG,74.823,No,No Violation,0,0
CAC002613548,"NU-EASE, INC",34.65816,-118.12941,LQG,66.455,No,No Violation,0,0
CAC002615303,PUENTE HILLS LANDFILL,34.029515,-118.014333,LQG,93.804,No,No Violation,0,0
CAC002616481,MANHOLE 025,34.162608,-118.269793,LQG,39.861,No,No Violation,0,0
CAC002618069,ORLOFF BUILDING COMPANY,33.90327,-118.21826,LQG,98.001,No,No Violation,0,0
CAC002618574,MASTERTASTE INC.,34.00761,-118.1407,LQG,95.579,No,No Violation,0,0
CAC002619444,BOELLSTORFF/MAURER/WALLAR/ULASZEWSKI RESIDENCE,33.758637,-118.216118,LQG,,No,No Violation,0,0
CAC002620102,"STAMET, INC",34.21952,-118.3878,LQG,77.504,No,No Violation,0,0
CAC002620272,JUAN CABRILLO ELEMENTARY SCHOOL,33.909469,-118.372933,LQG,71.282,No,No Violation,0,0
CAC002620542,PIERSON PROPERTIES,33.75563,-118.29444,LQG,68.783,No,No Violation,0,0
CAC002623676,COMMERCIAL STREET TRAFFIC YARD - TEMP,34.05336,-118.23653,LQG,92.006,No,No Violation,0,0
CAC002634457,CHEVRON #98058,33.818935,-118.14022,LQG,57.648,No,No Violation,0,0
CAC002634567,COUNTY OF LOS ANGELES INTERNAL SERVICES DEPARTMENT,34.051559,-118.174223,LQG,96.716,No,No Violation,0,0
CAC002634917,VAN NUYS PAYMENT CENTER,34.18986,-118.44873,LQG,65.723,No,No Violation,0,0
CAC002636845,FLETCHER PUMPING STATION,34.105265,-118.257582,LQG,69.647,No,No Violation,0,0
CAC002638136,WARNER BROS. ENTERTAINMENT INC.,34.06068,-118.27886,LQG,86.22,No,No Violation,0,0
CAC002638554,ELINE PAULSON,34.0976,-118.06103,LQG,86.114,No,No Violation,0,0
CAC002638786,"CHEMSIL SILICONES, INC",34.2476,-118.60497,LQG,59.242,No,No Violation,0,0
CAC002638811,"SAUGUS INDUSTRIAL CENTER, LLC",34.41299,-118.53932,LQG,41.428,No,No Violation,0,0
CAC002639258,415 PCH- ANNENBERG COMMUNITY BEACH HOUSE,34.024393,-118.512184,LQG,26.154,No,No Violation,0,0
CAC002640022,CALIFORNIA DEPARTMENT OF TRANSPORATION,34.16452,-118.47491,LQG,49.558,No,No Violation,0,0
CAC002640369,HONEYWELL NHE-2,34.19629,-118.38654,LQG,65.231,No,No Violation,0,0
CAC002640469,ANGELES FOREST HWY OVER MILL CREEK  (BRIDGE),34.212934,-118.19525,LQG,,No,No Violation,0,0
CAC002640771,DIAMOND GAS STATION,34.116648,-117.850202,LQG,,No,No Violation,0,0
CAC002641031,"SUPERCLEAN BRANDS, INC",33.8758,-118.26198,LQG,95.153,No,No Violation,0,0
CAC002641044,SCE ANTELOPE SITE,33.80697,-118.16982,LQG,74.821,No,No Violation,0,0
CAC002641050,PROPERTY OF VIRGINIA CARREON,34.02734,-118.29984,LQG,94.484,No,No Violation,0,0
CAC002641051,PROPERTY OF VIRGINIA CARREON,34.0271,-118.30022,LQG,94.484,No,No Violation,0,0
CAC002641314,AMB CAPELIN DISTRIBUTION CENTER,33.850289,-118.309327,LQG,77.617,No,No Violation,0,0
CAC002641723,WINZER CORPORATION,33.938288,-118.055258,LQG,83.472,No,No Violation,0,0
CAC002641894,"BROWN UNITED, INC",34.13412,-117.95107,LQG,81.271,No,No Violation,0,0
CAC002642106,ST TROPEZ TANNING ESSENTIALS,33.984235,-118.147977,LQG,94.391,No,No Violation,0,0
CAC002642867,ECOLAB INC.,33.99715,-117.903052,LQG,91.246,No,No Violation,0,0
CAC002643931,INTERNATIONAL SPECIALIST PRODUCTS INC,33.90245,-118.04239,LQG,81.554,No,No Violation,0,0
CAC002644334,WHITTIER AREA FIRST DAY COALITION,33.95128,-118.03402,LQG,78.153,No,No Violation,0,0
CAC002644588,WARNER BROS. ENTERTAINMENT INC.,34.19712,-118.34814,LQG,62.247,No,No Violation,0,0
CAC002645228,JUAN PONCE,33.8907,-118.15743,LQG,87.39,No,No Violation,0,0
CAC002645916,DISTRIBUTING STATION 34,34.038628,-118.255327,LQG,92.377,No,No Violation,0,0
CAC002646250,FLINTRIDGE BOOKSTORE + COFFEEHOUSE,34.20459,-118.20054,LQG,45.408,No,No Violation,0,0
CAC002646299,775 MERCHANT STREEET,34.03491,-118.24377,LQG,92.55,No,No Violation,0,0
CAC002647314,COGENT COMMUNICATIONS,33.98467,-118.43456,LQG,44.431,No,No Violation,0,0
CAC002648902,"KM INDUSTRIAL, INC",33.78646,-118.21132,LQG,85.897,No,No Violation,0,0
CAC002666835,CALTRANS LA-110 S.B. SHOULDER,34.063996,-118.244946,LQG,,No,No Violation,0,0
CAC002668618,CAL WESTERN PAINTS INC,33.96452,-118.06478,LQG,85.812,No,No Violation,0,0
CAC002672634,RESTORE NEIGHBORHOODS LA INC,34.00182,-118.24706,LQG,96.406,No,No Violation,0,0
CAC002673202,"QUALITY FORMING, LLC",33.81776,-118.2993,LQG,78.623,No,No Violation,0,0
CAC002676931,RESTORE NEIGHBORHOODS LA INC.,34.04341,-118.25728,LQG,91.52,No,No Violation,0,0
CAC002678086,CREST ENERGY PARTNERS,33.84142,-118.23596,LQG,90.993,No,No Violation,0,0
CAC002710469,EXCELLO PLATING CO SITE,34.103632,-118.25534,LQG,,No,No Violation,0,0
CAC002716534,OIL OPERATORS,33.80619,-118.18287,LQG,79.125,No,No Violation,0,0
CAC002718530,UCLA GLENROCK APARTMENT,34.06686,-118.45062,LQG,34.33,No,No Violation,0,0
CAC002727321,BASF CORP,33.883901,-118.106606,LQG,80.062,No,No Violation,0,0
CAC002727948,WILSHIRE PALM,34.06706,-118.39178,LQG,36.698,No,No Violation,0,0
CAC002734458,E&B NATURAL RESOURCES MGMT - HERMOSA BEACH MAINT. YARD,33.858551,-118.394725,LQG,38.329,No,No Violation,0,0
CAC002739498,STREET RETAIL INC,33.902231,-118.396103,LQG,51.183,No,No Violation,0,0
CAC002740357,UNC PACIFIC AIRMOTIVE CORP,34.20329,-118.35005,LQG,65.66,No,No Violation,0,0
CAC002742887,"2121 PARK PLACE, LP",33.90514,-118.38783,LQG,60.776,No,No Violation,0,0
CAC002748000,CALIFORNIA WATER SERVICE COMPANY - DOM - 297,33.86542,-118.20344,LQG,91.034,No,No Violation,0,0
CAC002748636,AMERICAN FRUIT AND FLAVORS,34.05939,-118.18232,LQG,95.759,No,No Violation,0,0
CAC002750186,STREET RETAIL INC,33.902231,-118.396103,LQG,51.183,No,No Violation,0,0
CAC002753503,JAMISON 16530 VENTURA LLC,34.15711,-118.49348,LQG,40.526,No,No Violation,0,0
CAC002754067,MONTEREY PASS ROAD,34.052024,-118.154818,LQG,96.19,No,No Violation,0,0
CAC002773217,SPECTRA COMPANY,34.02009,-118.198667,LQG,,No,No Violation,0,0
CAC002786884,MCCLAY PUMP STATION,34.30588,-118.362687,LQG,,No,No Violation,0,0
CAC002789608,JUANITA MILLENDER-MCDONALD CARSON REGIONAL WATER RECYCLING FACILITY,33.83844,-118.23707,LQG,89.723,No,No Violation,0,0
CAC002798430,MODERN HEALTH LABORATORIES,33.997674,-118.405833,LQG,,No,No Violation,0,0
CAC002799073,SOLVAY,33.843333,-118.232844,LQG,90.07,No,No Violation,0,0
CAC002805549,HOLLYWOOD LAB,34.123937,-118.337518,LQG,,No,No Violation,0,0
CAC002805854,ACTEK MANUFACTURING & ENGINEERING,33.999,-117.9046,LQG,91.314,No,No Violation,0,0
CAC002805996,CASTAIC PIPELINE 1,34.553702,-118.658685,LQG,40.09,No,No Violation,0,0
CAC002809521,ROCKET OIL #4,33.78304,-118.21572,LQG,87.45,No,No Violation,0,0
CAC002810685,GEORGIA-PACIFIC CHEMICALS LLC,33.90245,-118.04239,LQG,81.393,No,No Violation,0,0
CAC002811314,VACANT LOT - FORMER GAS STATION,34.003069,-118.287214,LQG,,No,No Violation,0,0
CAC002812522,317 FLORENCE AVENUE,33.961803,-118.359326,LQG,,No,No Violation,0,0
CAC002812690,"PROGRESSIVE INVESTMENT 2014, LLC",34.05161,-118.14818,LQG,,No,No Violation,0,0
CAC002815093,SATICOY STREET YARD,34.209335,-118.402893,LQG,,No,No Violation,0,0
CAC002819688,LINE E-31 BURNETT STREET VALVE BOX,33.82191,-118.223941,LQG,,No,No Violation,0,0
CAC002825304,WALT DISNEY,34.16986,-118.291058,LQG,,No,No Violation,0,0
CAC030866933,"PLASKOLITE WEST, INC",33.84675,-118.2265,LQG,89.556,No,No Violation,0,0
CAD000031997,QUALAWASH HOLDINGS LLC,33.957233,-118.179705,LQG,95.408,No,No Violation,0,0
CAD000033811,GULFSTREAM AEROSPACE - PAINT HANGAR,33.819983,-118.139848,LQG,56.933,No,No Violation,0,0
CAD000086686,VACCO INDUSTRIES,34.047356,-118.045834,LQG,95.239,No,No Violation,0,0
CAD000093500,ALCOA FASTENING SYSTEMS,34.05421,-118.00126,LQG,94.817,No,Noncompliance,0,12
CAD000154302,"BRENNTAG PACIFIC, INC. UP YARD",34.01651,-118.19987,LQG,97.814,No,No Violation,0,0
CAD000207654,PRL ALUMINUM,34.027113,-117.977713,LQG,91.799,No,No Violation,0,0
CAD000614669,NORTHAM STATION,33.884041,-118.015852,LQG,74.645,No,No Violation,0,0
CAD000624718,"BALL AEROSOL & SPECIALTY CONTAINER, INC.",34.016834,-118.148578,LQG,96.171,No,No Violation,0,0
CAD000627224,TRIUMPH AEROSPACE STRUCTURES TORRANCE,33.840429,-118.331606,LQG,64.273,No,No Violation,0,0
CAD000627265,TARGET STORE T0294,34.18669,-118.3716,LQG,59.942,No,No Violation,0,0
CAD000627273,NORTHROP GRUMMAN EL SEGUNDO,33.92032,-118.37926,LQG,75.158,No,No Violation,0,0
CAD000627943,TESORO LOGISTICS OPERATIONS LLC EAST HYNES STORAGE & RACK,33.861739,-118.159904,LQG,79.961,No,No Violation,0,0
CAD000628032,"AIRCRAFT X-RAY LABORATORIES, INC.",33.99518,-118.22526,LQG,98.426,No,Noncompliance,0,12
CAD000628305,TESORO LOGISTICS MARINE TERMINAL 3,33.773273,-118.212077,LQG,85.932,No,No Violation,0,0
CAD000628412,CARSON CRUDE STORAGE TERMINAL,33.801231,-118.25786,LQG,91.227,No,No Violation,0,0
CAD000628420,PACIFIC PIPELINE SYSTEM LLC,33.86285,-118.16859,LQG,81.666,No,No Violation,0,0
CAD000630020,"U.S. BORAX, INC. - WILMINGTON OPERATIONS",33.75687,-118.26559,LQG,78.979,No,Noncompliance,0,12
CAD000630053,"KINDER MORGAN LIQUIDS TERMINALS, LLC LA HARBOR TERMINAL",33.75408,-118.29051,LQG,69.227,No,No Violation,0,0
CAD000630830,NEWHALL PUMP STATION,34.408537,-118.556546,LQG,41.815,No,No Violation,0,0
CAD000633008,SCATERGOOD GENERATING STATION,33.917833,-118.425667,LQG,26.908,No,No Violation,0,0
CAD000633057,CENTRAL DISTRICT YARD,34.057797,-118.246034,LQG,92.065,No,No Violation,0,0
CAD000633065,VAN NUYS SERVICE CENTER,34.20846,-118.44796,LQG,78.056,No,No Violation,0,0
CAD000633123,TRUESDALE ESM EAST VALLEY,34.248961,-118.38772,LQG,87.396,No,No Violation,0,0
CAD000633180,HARBOR GENERATING STATION,33.7691,-118.2662,LQG,83.079,No,No Violation,0,1
CAD000633230,RAYTHEON COMPANY,33.913603,-118.391008,"LQG, Operating TSDF, TSDF",65.791,No,No Violation,0,0
CAD000633248,HAYNES GENERATING STATION,33.7639,-118.0948,LQG,28.024,No,No Violation,0,0
CAD000633305,MAIN STREET CENTER,34.06694,-118.22734,"LQG, TSDF",89.434,No,No Violation,2,4
CAD000819839,"TABC, INC.",33.8706,-118.15997,LQG,83.668,No,No Violation,0,0
CAD000852889,JOINT WATER POLLUTION CONTROL PLANT,33.804312,-118.283922,LQG,82.746,No,No Violation,0,0
CAD001195585,LISI AEROSPACE - THE MONADNOCK COMPANY,34.00324,-117.904,LQG,91.338,No,No Violation,0,0
CAD001946383,ARCONIC GLOBAL FASTENERS & RINGS INC,33.81073,-118.3393,LQG,59.021,No,No Violation,0,0
CAD002277093,ENGINEERED POLYMER SOLUTIONS,33.987111,-118.165944,LQG,96.511,No,Noncompliance,0,12
CAD002570430,PH BURBANK,34.2033,-118.34442,LQG,63.797,No,No Violation,0,0
CAD004295572,MID WEST FABRICATING CO,33.96244,-118.06577,LQG,85.785,No,No Violation,0,0
CAD005975123,WESTERN TUBE & CONDUIT CORPORATION,33.8392,-118.23457,LQG,89.358,No,No Violation,0,1
CAD006493613,RANTEC MICROWAVE,34.15455,-118.6515,LQG,24.703,No,No Violation,0,0
CAD006493616,"RANTEC MICROWAVE SYSTEMS, INC",34.15455,-118.6515,LQG,24.703,No,No Violation,0,0
CAD006906283,"PRECISION SPECIALTY METAL, INC.",34.06064,-118.19081,LQG,95.306,Yes,Significant Violation,7,7
CAD006908818,SOUTHERN CALIFORNIA EDISON GEN OFFICE COMPLEX,34.05306,-118.0818,LQG,94.457,No,No Violation,0,0
CAD007965007,QUEST DIAGNOSTICS,34.20878,-118.44436,LQG,78.536,No,No Violation,0,0
CAD007965049,HENKEL ELECTRONIC MATERIALS LLC,33.84952,-118.20683,LQG,86.382,No,Noncompliance,0,4
CAD008236648,DUNN-EDWARDS CORPORATION,33.98808,-118.17696,LQG,97.419,No,No Violation,0,0
CAD008237596,PRC- DESOTO INTERNATIONAL,34.150611,-118.273792,LQG,43.142,No,No Violation,0,0
CAD008237679,PHILLIPS 66 - LOS ANGELES REFINERY WILMINGTON PLANT,33.774469,-118.290696,"LQG, TSDF",75.436,No,No Violation,0,4
CAD008237885,CUSTOM CHEMICAL FORMULATORS INC,33.963802,-118.080079,LQG,87.131,No,No Violation,0,0
CAD008237950,"CAL-TRON PLATING, INC.",33.96519,-118.06008,LQG,85.555,No,Noncompliance,1,12
CAD008241408,"TECHNICAL METAL FINISHING CO., INC.",33.97807,-118.46435,LQG,37.911,No,No Violation,0,0
CAD008242711,MONTROSE CHEMICAL COMPANY OF CALIFORNIA,33.84833,-118.2983,LQG,81.353,No,No Violation,0,0
CAD008247900,REDMAN EQUIPMENT & MANUFACTURING COMPANY,33.851743,-118.29924,LQG,81.543,No,No Violation,0,0
CAD008250383,MODERN PLATING COMPANY,33.94195,-118.37428,LQG,83.26,No,No Violation,0,0
CAD008251308,ATLAS GALVANIZING LLC,34.00002,-118.22377,LQG,98.306,No,Noncompliance,0,8
CAD008252405,PACIFIC RESOURCE RECOVERY,34.017443,-118.212607,"LQG, Operating TSDF, TSDF, Transporter",96.699,No,No Violation,0,2
CAD008252959,LIBERTY MANUFACTURING,34.020274,-118.232605,LQG,94.002,No,No Violation,0,0
CAD008254047,ORBITAL ATK,33.99052,-118.15225,LQG,95.607,No,No Violation,0,0
CAD008254716,WESTERN GEAR CORPORATION,34.030473,-117.975463,LQG,92.188,No,No Violation,0,0
CAD008254807,MANHATTAN GATEWAY SHOPPING CENTER,33.90179,-118.38053,LQG,62.718,No,No Violation,0,0
CAD008256356,3M UNITEK CORP,34.115275,-118.003816,LQG,81.148,No,No Violation,0,0
CAD008256562,OWENS-BROCKWAY GLASS CONTAINER INC,33.9972,-118.2172,LQG,98.26,No,No Violation,0,0
CAD008258295,CHEMETALL U. S. INC.,33.8775,-118.01142,LQG,73.76,No,No Violation,0,0
CAD008258592,SURFACE PROTECTION INDUSTRIES INC.,34.01576,-118.20627,LQG,97.641,No,No Violation,0,0
CAD008258626,BODYCOTE THERMAL PROCESSING,33.99979,-118.18447,LQG,97.963,No,Noncompliance,0,2
CAD008262602,"SPECTROLAB, INC",34.29724,-118.41342,LQG,92.307,No,No Violation,0,0
CAD008263881,HAGER PACIFIC PROPERTIES,33.86785,-118.2128,LQG,93.59,No,No Violation,0,0
CAD008268302,"NORTHROP GRUMMAN, HAWTHORNE",33.91968,-118.32876,"LQG, TSDF",92.382,No,Noncompliance,0,4
CAD008271090,PALACE PLATING,34.01869,-118.26252,LQG,94.154,No,No Violation,0,0
CAD008271942,ANGELUS SANITARY CAN MACHINE CO,33.99908,-118.22524,LQG,98.35,No,No Violation,0,0
CAD008272957,"NORTON AND SON OF CALIFORNIA, INC",33.98088,-118.14248,LQG,93.304,No,No Violation,0,0
CAD008274375,TROJAN BATTERY CO - ANN ST,33.95508,-118.05694,LQG,84.656,No,No Violation,0,0
CAD008277956,"BARKEN'S HARD CHROME, INC",33.88122,-118.21923,LQG,96.553,No,No Violation,0,0
CAD008278236,"FOSS PLATING COMPANY, INC",33.968255,-118.058182,LQG,85.679,No,No Violation,0,0
CAD008286148,PERVO PAINT COMPANY,33.97888,-118.26299,LQG,99.046,No,No Violation,0,0
CAD008286551,ANADITE INC.,33.9321,-118.16735,LQG,93.361,No,No Violation,0,0
CAD008287484,PORCELAIN METALS CORPORATION PMC CAMEO SITE,33.981426,-118.139572,LQG,93.218,No,No Violation,0,0
CAD008287732,BRENNTAG PACIFIC INC,33.95745,-118.1888,LQG,96.447,No,No Violation,0,0
CAD008287823,PILOT CHEMICAL COMPANY,33.96179,-118.06686,LQG,85.743,No,No Violation,0,0
CAD008291577,FORMER SUPERIOR PACIFIC GALVANIZING,33.98472,-118.24287,LQG,98.854,No,No Violation,0,0
CAD008292005,TTM PRINTED CIRCUT GROUP INC.,33.95876,-118.37579,LQG,83.233,No,No Violation,0,0
CAD008292153,HIGHLAND PLATING COMPANY,34.08904,-118.34163,LQG,54.096,No,No Violation,0,0
CAD008292435,ALCO CAD-NICKEL PLATING CORP.,34.02579,-118.24129,LQG,93.123,No,Noncompliance,10,12
CAD008294829,B&C PLATING,34.012805,-118.178981,LQG,97.906,No,No Violation,0,2
CAD008296741,SCHUSTER FLEXIBLE PACKAGING,33.878421,-118.254224,LQG,96.428,No,No Violation,0,0
CAD008297574,CARDINAL INDUSTRIAL FINISHES,34.044077,-118.05565,LQG,95.101,No,Noncompliance,0,12
CAD008301947,HUTCHINSON SEAL CORPORATION,33.93328,-118.13069,LQG,86.533,No,No Violation,0,0
CAD008302903,VEOLIA ES TECHNICAL SOLUTIONS LLC,34.12078,-117.93548,"LQG, Operating TSDF, TSDF, Transporter",83.061,Yes,Significant Violation,9,11
CAD008303596,TECHNI-CAST CORP,33.92551,-118.16929,LQG,93.332,No,Noncompliance,0,12
CAD008304594,"K & L ANODIZING, INC.",34.16537,-118.30602,LQG,38.839,No,No Violation,5,5
CAD008305062,CROWN CITY PLATING CO#,34.08661,-118.05619,LQG,89.525,No,No Violation,0,0
CAD008306482,"J&M ANODIZING, INC",34.17437,-118.30719,LQG,38.58,No,No Violation,0,0
CAD008308520,SPENCE ELECTROPLATING,34.181681,-118.32168,LQG,44.476,No,No Violation,0,0
CAD008314023,AERO ENGINES INC,34.10486,-118.24417,LQG,71.787,No,Noncompliance,0,12
CAD008317422,THE GILL CORPORATION,34.08291,-118.06062,LQG,90.496,No,No Violation,0,2
CAD008322737,SARGENT FLETCHER INC,34.07197,-118.06413,LQG,92.479,No,No Violation,0,0
CAD008324784,AUTOMATION PLATING CORP,34.16956,-118.29475,LQG,38.368,No,No Violation,0,0
CAD008324832,EXIDE TECHNOLOGIES,34.03817,-117.97377,LQG,92.933,No,No Violation,0,0
CAD008324949,"NORTHROP GRUMMAN AEROSPACE SYSTEMS, MANHATTAN BEACH",33.899648,-118.378706,LQG,62.456,No,No Violation,0,0
CAD008325664,"DECCO-CEREXAGRI, INC",34.13287,-117.99503,LQG,72.934,No,No Violation,0,0
CAD008330318,RAMCAR BATTERIES INC,33.9932,-118.13974,LQG,94.639,No,Noncompliance,10,12
CAD008330862,EATON AEROSPACE ENGINEER,34.14059,-118.27464,LQG,44.621,No,Noncompliance,0,12
CAD008331506,"SOUTHWEST PLATING COMPANY, LLC",33.98914,-118.29963,LQG,97.385,No,No Violation,0,0
CAD008334781,INDUSTRIAL TECHTONICS BEARINGS,33.86459,-118.21293,LQG,92.727,No,Noncompliance,0,12
CAD008335366,ENGINEERED POLYMER SOLUTION INC D/B/A VALSPAR COATINGS,33.9803,-118.12508,LQG,91.862,No,No Violation,0,0
CAD008335812,"MAGNA PLATING, INC.",34.20516,-118.34553,LQG,65.264,No,Noncompliance,0,12
CAD008335838,V&M AEROSPACE LLC,33.90386,-118.26529,LQG,97.535,Yes,Significant Violation,11,11
CAD008336117,MICROPLATE CO. INC.,33.95628,-118.37416,LQG,84.134,No,No Violation,0,0
CAD008336901,"CHEVRON, EL SEGUNDO REFINERY",33.908126,-118.41074,"LQG, Operating TSDF, TSDF",33.744,No,No Violation,0,3
CAD008337099,FORMER DRILUBE BROADWAY FACILITY,34.146764,-118.270733,LQG,44.437,No,No Violation,0,0
CAD008342784,AUTOMATION PLATING CORP,34.16956,-118.29475,LQG,38.368,No,No Violation,0,1
CAD008344038,"LONG BEACH PLATING CO., INC.",33.78272,-118.21422,LQG,87.002,No,No Violation,0,0
CAD008344228,CRITERION CATALYST,34.1398,-117.92489,LQG,77.855,No,No Violation,0,0
